"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 31 11:16:15 ICT 2023","Fri Mar 31 11:16:51 ICT 2023","35831","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_53","Verify Configuration Read user view zone design","Verify Configuration Read user view zone design"
"broken","Fri Mar 31 11:10:44 ICT 2023","Fri Mar 31 11:11:21 ICT 2023","36378","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_15","Verify System Write user can not view Schedules","Verify System Write user can not view Schedules"
"broken","Fri Mar 31 11:16:39 ICT 2023","Fri Mar 31 11:17:15 ICT 2023","35899","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_57","Verify Configuration Read user can not delete zone","Verify Configuration Read user can not delete zone"
"passed","Fri Mar 31 11:27:55 ICT 2023","Fri Mar 31 11:28:21 ICT 2023","26433","Regression","Global Search","testcases.web.global_search.GlobalSearch","testcases.web.global_search.GlobalSearch","TC_01","Verify user can search bookings by passenger name","Verify user can search bookings by passenger name"
"broken","Fri Mar 31 11:03:07 ICT 2023","Fri Mar 31 11:04:41 ICT 2023","94219","Regression","Booking Flow","testcases.web.booking_flow.BookingFlow","testcases.web.booking_flow.BookingFlow","TC_07","Verify the price will be discounted for 'Concession Card: Student' account","Verify the price will be discounted for 'Concession Card: Student' account"
"passed","Fri Mar 31 11:00:44 ICT 2023","Fri Mar 31 11:00:54 ICT 2023","9333","Regression","Drivers","testcases.web.driver.DriversListing","testcases.web.driver.DriversListing","TC_01","Verify total of record show correctly","Verify total of record show correctly"
"passed","Fri Mar 31 10:51:12 ICT 2023","Fri Mar 31 10:51:13 ICT 2023","543","Regression","Dashboard","testcases.web.dashboard.DashBoard","testcases.web.dashboard.DashBoard","TC_04","Verify can access Vehicles page from Dashboard ","Verify can access Vehicles page from Dashboard"
"passed","Fri Mar 31 10:52:20 ICT 2023","Fri Mar 31 10:52:45 ICT 2023","24729","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_09","Verify user can resubmit the user creating request","When the user clicks Submit, If the creation of a new user fails, the dialog should allow the user to correct any issues and then resubmit the request"
"failed","Fri Mar 31 10:44:23 ICT 2023","Fri Mar 31 10:44:37 ICT 2023","14067","Regression","LogOut","testcases.web.LogOut","testcases.web.LogOut","TC_03","Verify copied active user session will be expired as well after logging out","Verify copied active user session will be expired as well after logging out"
"broken","Fri Mar 31 11:12:03 ICT 2023","Fri Mar 31 11:12:39 ICT 2023","36104","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_12","Verify Configuration Write user can not create new Driver","Verify Configuration Write user can not create new Driver"
"broken","Fri Mar 31 11:15:38 ICT 2023","Fri Mar 31 11:16:13 ICT 2023","35677","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_45","Verify Configuration Write user can create new zone","Verify Configuration Write user can create new zone"
"passed","Fri Mar 31 11:01:49 ICT 2023","Fri Mar 31 11:01:58 ICT 2023","8891","Regression","Drivers","testcases.web.driver.DriversListing","testcases.web.driver.DriversListing","TC_03","Verify can select number of row per page","Verify user can select number of row per page"
"passed","Fri Mar 31 11:02:02 ICT 2023","Fri Mar 31 11:02:15 ICT 2023","13720","Regression","Drivers","testcases.web.driver.DriversListing","testcases.web.driver.DriversListing","TC_09","Verify can open and close Create new form","Verify can open and close Create new form"
"passed","Fri Mar 31 11:01:25 ICT 2023","Fri Mar 31 11:01:55 ICT 2023","29675","Regression","Drivers","testcases.web.driver.DriverEditing","testcases.web.driver.DriverEditing","TC_04","Verify edit driver failed if does not enter first name","Verify edit driver failed if does not enter first name"
"passed","Fri Mar 31 11:01:06 ICT 2023","Fri Mar 31 11:01:16 ICT 2023","10367","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_05","Verify create driver failed if does not enter last name","Verify create driver failed if does not enter last name"
"passed","Fri Mar 31 10:53:45 ICT 2023","Fri Mar 31 10:53:49 ICT 2023","4612","Regression","Groups","testcases.web.group.GroupCreating","testcases.web.group.GroupCreating","TC_03","Verify can not create group with exist group name","Verify can not create group with exist group name"
"passed","Fri Mar 31 10:52:04 ICT 2023","Fri Mar 31 10:52:26 ICT 2023","21144","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_06","Verify can create user without enter optional fields","Verify can create user without enter optional fields"
"broken","Fri Mar 31 10:50:25 ICT 2023","Fri Mar 31 10:51:01 ICT 2023","35781","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_01","Verify login successfully with ''","Verify login successfully with 
Email: no.permission02@gmail.com
 Password: userPass@123"
"broken","Fri Mar 31 11:16:04 ICT 2023","Fri Mar 31 11:16:40 ICT 2023","35899","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_50","Verify Configuration Read user can not edit region","Verify Configuration Read user can not edit region"
"unknown","Fri Mar 31 10:51:16 ICT 2023","Fri Mar 31 10:51:16 ICT 2023","0","Regression","Users","testcases.web.user.UsersDeleting","testcases.web.user.UsersDeleting","TC_05","TC_05",""
"passed","Fri Mar 31 11:28:13 ICT 2023","Fri Mar 31 11:28:19 ICT 2023","5576","Regression","Global Search","testcases.web.global_search.GlobalSearch","testcases.web.global_search.GlobalSearch","TC_12","Verify user can search vehicle by registration","Verify user can search vehicle by registration"
"skipped","Fri Mar 31 10:57:20 ICT 2023","Fri Mar 31 10:57:20 ICT 2023","0","Regression","Regions","testcases.web.region.RegionListing","testcases.web.region.RegionListing","TC_02","TC_02",""
"broken","Fri Mar 31 11:12:42 ICT 2023","Fri Mar 31 11:13:18 ICT 2023","35864","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_14","Verify Configuration Write user can not create new Vehicles","Verify Configuration Write user can not create new Vehicles"
"broken","Fri Mar 31 11:09:21 ICT 2023","Fri Mar 31 11:09:59 ICT 2023","38026","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_11","Verify Reporting user can not view Driver","Verify Reporting user can not view Driver"
"broken","Fri Mar 31 11:19:12 ICT 2023","Fri Mar 31 11:19:48 ICT 2023","35672","Regression","Permission","testcases.web.permission.NoPermission","testcases.web.permission.NoPermission","TC_04","Verify user with no group can not take any action","If a user does not belong to any group they should not be able to perform any actions within the system. For example: they should only be able to login and see the Dashboard"
"passed","Fri Mar 31 11:01:29 ICT 2023","Fri Mar 31 11:01:54 ICT 2023","24930","Regression","Drivers","testcases.web.driver.DriversListing","testcases.web.driver.DriversListing","TC_02","Verify can select columns to show information","Verify user can select columns to show information"
"broken","Fri Mar 31 11:03:05 ICT 2023","Fri Mar 31 11:04:21 ICT 2023","75944","Regression","Booking Flow","testcases.web.booking_flow.BookingFlow","testcases.web.booking_flow.BookingFlow","TC_05","Verify user can book a trip for not low tech passenger","Verify user can book a trip for not low tech passenger"
"passed","Fri Mar 31 10:52:32 ICT 2023","Fri Mar 31 10:52:52 ICT 2023","19903","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_08","Verify can not create user without invalid email format 'email@'","Verify can not create user without invalid email format 'email@'"
"broken","Fri Mar 31 11:14:46 ICT 2023","Fri Mar 31 11:15:22 ICT 2023","35910","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_37","Verify System Read user can not create new user","Verify System Read user can not create new user"
"skipped","Fri Mar 31 10:59:22 ICT 2023","Fri Mar 31 10:59:22 ICT 2023","0","Regression","Zones","testcases.web.zone.ZoneListing","testcases.web.zone.ZoneListing","TC_02","TC_02",""
"broken","Fri Mar 31 11:15:59 ICT 2023","Fri Mar 31 11:16:35 ICT 2023","35935","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_47","Verify Configuration Write user can delete zone","Verify Configuration Write user can delete zone"
"passed","Fri Mar 31 10:51:57 ICT 2023","Fri Mar 31 10:52:27 ICT 2023","30589","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_07","Verify can not edit user without enter mandatory field 'First Name'","Verify can not edit user without enter mandatory field 'First Name'"
"broken","Fri Mar 31 11:11:23 ICT 2023","Fri Mar 31 11:11:59 ICT 2023","36020","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_12","Verify Configuration Read user can not create new Driver","Verify Configuration Read user can not create new Driver"
"passed","Fri Mar 31 10:52:55 ICT 2023","Fri Mar 31 10:53:12 ICT 2023","17129","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_08","Verify can not create user without invalid email format 'email@.com'","Verify can not create user without invalid email format 'email@.com'"
"broken","Fri Mar 31 11:14:04 ICT 2023","Fri Mar 31 11:14:41 ICT 2023","36455","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_29","Verify System Write user can edit User Group","Verify System Write user can edit User Group"
"passed","Fri Mar 31 10:44:23 ICT 2023","Fri Mar 31 10:44:36 ICT 2023","12760","Regression","LogOut","testcases.web.LogOut","testcases.web.LogOut","TC_01","Verify can not be back and start working after logout","Verify can not be back and start working after logout"
"broken","Fri Mar 31 11:15:26 ICT 2023","Fri Mar 31 11:16:02 ICT 2023","35954","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_44","Verify Configuration Write user can delete region","Verify Configuration Write user can delete region"
"passed","Fri Mar 31 10:44:49 ICT 2023","Fri Mar 31 10:44:53 ICT 2023","3331","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_02","Verify login failed by invalid account with 'wrong email format'","Verify user login unsuccessfully with wrong email format':
Email: daohuy.com
 Password: Mr_Xe_Lu@1992"
"passed","Fri Mar 31 10:51:20 ICT 2023","Fri Mar 31 10:51:56 ICT 2023","35561","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_02","Verify administrator can add user to administrator group","Verify administrator can add user to administrator group"
"passed","Fri Mar 31 10:52:31 ICT 2023","Fri Mar 31 10:53:01 ICT 2023","30352","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_07","Verify can not edit user without enter mandatory field 'Last Name'","Verify can not edit user without enter mandatory field 'Last Name'"
"failed","Fri Mar 31 11:04:58 ICT 2023","Fri Mar 31 11:08:57 ICT 2023","238703","Regression","Booking Flow","testcases.web.booking_flow.BookingFlow","testcases.web.booking_flow.BookingFlow","TC_02","Verify the booking can be secured","Verify the booking can be secured"
"broken","Fri Mar 31 11:13:20 ICT 2023","Fri Mar 31 11:13:57 ICT 2023","36225","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_20","Verify System Write user can not view Solutions","Verify System Write user can not view Solutions"
"broken","Fri Mar 31 11:14:31 ICT 2023","Fri Mar 31 11:15:07 ICT 2023","35911","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_33","Verify System Write should not be able to create a new user belonging to the 'Administrators' group","Verify System Write should not be able to create a new user belonging to the 'Administrators' group"
"failed","Fri Mar 31 11:27:35 ICT 2023","Fri Mar 31 11:27:48 ICT 2023","13216","Regression","Reset password","testcases.web.ResetPassword","testcases.web.ResetPassword","TC_01","Verify reset password link is only valid for one use",""
"broken","Fri Mar 31 11:16:05 ICT 2023","Fri Mar 31 11:16:42 ICT 2023","36223","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_37","Verify Configuration Write user can not create new user","Verify Configuration Write user can not create new user"
"passed","Fri Mar 31 10:54:16 ICT 2023","Fri Mar 31 10:54:51 ICT 2023","35203","Regression","Passenger","testcases.web.passenger.PassengerEditing","testcases.web.passenger.PassengerEditing","TC_04","Verify user can add Concession Veteran for passengers","Verify user can add Concession Veteran for passengers"
"broken","Fri Mar 31 10:47:17 ICT 2023","Fri Mar 31 10:47:53 ICT 2023","35797","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_01","Verify login successfully with ''","Verify login successfully with 
Email: reporting.write@gmail.com
 Password: userPass@123"
"passed","Fri Mar 31 10:53:41 ICT 2023","Fri Mar 31 10:54:03 ICT 2023","21710","Regression","Groups","testcases.web.group.GroupDeleting","testcases.web.group.GroupDeleting","TC_01","Verify a group and its associated privileges will be removed from all users if a group is deleted","Verify a group and its associated privileges will be removed from all users if a group is deleted"
"broken","Fri Mar 31 11:10:02 ICT 2023","Fri Mar 31 11:10:40 ICT 2023","37299","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_12","Verify System Write user can not create new Driver","Verify System Write user can not create new Driver"
"passed","Fri Mar 31 10:51:20 ICT 2023","Fri Mar 31 10:51:52 ICT 2023","32286","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_06","Verify can edit user without enter optional fields","Verify can edit user without enter optional fields"
"unknown","Fri Mar 31 11:27:24 ICT 2023","Fri Mar 31 11:27:24 ICT 2023","0","Regression","Reset password","testcases.web.ResetPassword","testcases.web.ResetPassword","TC_03","TC_03",""
"broken","Fri Mar 31 11:10:03 ICT 2023","Fri Mar 31 11:10:40 ICT 2023","36801","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_16","Verify Reporting user can not view Service Monitoring","Verify Reporting user can not view Service Monitoring"
"passed","Fri Mar 31 10:51:46 ICT 2023","Fri Mar 31 10:52:18 ICT 2023","31084","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_11","Verify user can not create new user with existed user name","The Username should have a unique constraint against it so the application should never allow a user to create more than one user with the same username"
"passed","Fri Mar 31 10:54:17 ICT 2023","Fri Mar 31 10:54:45 ICT 2023","28857","Regression","Passenger","testcases.web.passenger.PassengerEditing","testcases.web.passenger.PassengerEditing","TC_01","Verify user can edit passenger information","Verify user can edit passenger information"
"broken","Fri Mar 31 11:16:03 ICT 2023","Fri Mar 31 11:16:40 ICT 2023","36065","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_41","Verify Configuration Write user can view regions","Verify Configuration Write user can view regions"
"broken","Fri Mar 31 10:47:54 ICT 2023","Fri Mar 31 10:48:30 ICT 2023","35637","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_01","Verify login successfully with ''","Verify login successfully with 
Email: planning.write.user@gmail.com
 Password: userPass@123"
"broken","Fri Mar 31 11:13:25 ICT 2023","Fri Mar 31 11:14:01 ICT 2023","35816","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_26","Verify System Write user can edit users","Verify System Write user can edit users"
"skipped","Fri Mar 31 10:57:17 ICT 2023","Fri Mar 31 10:57:17 ICT 2023","0","Regression","Regions","testcases.web.region.RegionListing","testcases.web.region.RegionListing","TC_01","TC_01",""
"passed","Fri Mar 31 10:54:13 ICT 2023","Fri Mar 31 10:54:26 ICT 2023","13475","Regression","Passenger","testcases.web.passenger.PassengerCreating","testcases.web.passenger.PassengerCreating","TC_01","Verify user can create new Travellers","Verify user can create new Travellers"
"passed","Fri Mar 31 10:51:53 ICT 2023","Fri Mar 31 10:52:18 ICT 2023","25106","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_01","Verify administrator can create user and add them to Administrators Group successfully","Verify administrator can create user and add them to Administrators Group successfully. When user has been successfully created, the user should appear in the list of users of the 'Users' page. The user should have a unique id associated with it"
"broken","Fri Mar 31 11:15:19 ICT 2023","Fri Mar 31 11:15:55 ICT 2023","35947","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_20","Verify Configuration Write user can not view Solutions","Verify Configuration Write user can not view Solutions"
"passed","Fri Mar 31 11:01:07 ICT 2023","Fri Mar 31 11:01:21 ICT 2023","13955","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_01","Verify can create driver successfully with valid information","Verify can create driver successfully with valid information"
"passed","Fri Mar 31 10:51:20 ICT 2023","Fri Mar 31 10:51:52 ICT 2023","31941","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_08","Verify can not edit user without invalid email format 'only_text'","Verify can not edit user without invalid email format 'only_text'"
"passed","Fri Mar 31 11:01:37 ICT 2023","Fri Mar 31 11:01:41 ICT 2023","4100","Regression","Drivers","testcases.web.driver.DriversListing","testcases.web.driver.DriversListing","TC_03","Verify can select number of row per page","Verify user can select number of row per page"
"passed","Fri Mar 31 11:20:13 ICT 2023","Fri Mar 31 11:20:50 ICT 2023","36904","Regression","Booking","testcases.web.booking.Booking","testcases.web.booking.Booking","TC_01","Verify Booking page show with default region","Verify Booking page show with default region"
"passed","Fri Mar 31 10:53:45 ICT 2023","Fri Mar 31 10:53:51 ICT 2023","6076","Regression","Groups","testcases.web.group.GroupCreating","testcases.web.group.GroupCreating","TC_02","Verify can create group with multiple roles and multiple users","Verify can create group with multiple roles and multiple users"
"passed","Fri Mar 31 10:52:10 ICT 2023","Fri Mar 31 10:52:28 ICT 2023","18173","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_08","Verify can not create user without invalid email format 'only_text'","Verify can not create user without invalid email format 'only_text'"
"passed","Fri Mar 31 11:01:06 ICT 2023","Fri Mar 31 11:01:19 ICT 2023","13838","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_08","Verify create driver successfully without phone number","Verify create driver successfully without phone number"
"broken","Fri Mar 31 11:11:24 ICT 2023","Fri Mar 31 11:12:01 ICT 2023","36635","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_15","Verify System Read user can not view Schedules","Verify System Read user can not view Schedules"
"broken","Fri Mar 31 11:09:21 ICT 2023","Fri Mar 31 11:10:00 ICT 2023","39090","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_05","Verify Reporting user can view the Booking of a 'Feedback'","Verify Reporting user can view the Booking of a 'Feedback'"
"broken","Fri Mar 31 11:14:46 ICT 2023","Fri Mar 31 11:15:22 ICT 2023","35974","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_38","Verify System Read user can not delete user","Verify System Read user can not delete user"
"skipped","Fri Mar 31 11:26:18 ICT 2023","Fri Mar 31 11:26:18 ICT 2023","0","Regression","Service Monitoring","testcases.web.service_monitoring.ServiceMonitoring","testcases.web.service_monitoring.ServiceMonitoring","TC_01","TC_01",""
"passed","Fri Mar 31 11:01:06 ICT 2023","Fri Mar 31 11:01:16 ICT 2023","10581","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_06","Verify create driver failed if does not enter user name","Verify create driver failed if does not enter user name"
"broken","Fri Mar 31 11:13:26 ICT 2023","Fri Mar 31 11:14:02 ICT 2023","36214","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_28","Verify System Write user can delete user","Verify System Write user can delete user"
"broken","Fri Mar 31 11:10:44 ICT 2023","Fri Mar 31 11:11:20 ICT 2023","36308","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_17","Verify System Write user can not view Travellers","Verify System Write user can not view Travellers"
"broken","Fri Mar 31 11:13:44 ICT 2023","Fri Mar 31 11:14:20 ICT 2023","35821","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_24","Verify System Read user can not view the 'Feedback' page","Verify System Read user can not view the 'Feedback' page"
"broken","Fri Mar 31 10:49:10 ICT 2023","Fri Mar 31 10:49:45 ICT 2023","35684","Regression","Login","testcases.web.Login","testcases.web.Login","TC_Login_01","Verify login successfully with ''","Verify login successfully with 
Email: daily.operation.write@gmail.com
 Password: userPass@123"
"passed","Fri Mar 31 10:52:29 ICT 2023","Fri Mar 31 10:52:58 ICT 2023","29349","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_08","Verify can not edit user without invalid email format 'email@.com'","Verify can not edit user without invalid email format 'email@.com'"
"broken","Fri Mar 31 11:13:25 ICT 2023","Fri Mar 31 11:14:02 ICT 2023","36328","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_27","Verify System Write user can create new user","Verify System Write user can create new user"
"broken","Fri Mar 31 11:14:45 ICT 2023","Fri Mar 31 11:15:21 ICT 2023","36017","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_35","Verify System Write should not be able to delete the 'Administrators' group","Verify System Write should not be able to delete the 'Administrators' group"
"passed","Fri Mar 31 11:01:25 ICT 2023","Fri Mar 31 11:01:55 ICT 2023","29801","Regression","Drivers","testcases.web.driver.DriverEditing","testcases.web.driver.DriverEditing","TC_05","Verify edit driver failed if does not enter last name","Verify edit driver failed if does not enter last name"
"passed","Fri Mar 31 10:51:20 ICT 2023","Fri Mar 31 10:52:05 ICT 2023","45112","Regression","Users","testcases.web.user.UsersEditing","testcases.web.user.UsersEditing","TC_09","Verify user can resubmit the user editing request","When the user clicks Submit, If the creation of a new user fails, the dialog should allow the user to correct any issues and then resubmit the request"
"broken","Fri Mar 31 11:13:22 ICT 2023","Fri Mar 31 11:13:57 ICT 2023","35843","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_25","Verify System Write user can not view Trips","Verify System Write user can not view Trips"
"broken","Fri Mar 31 11:12:46 ICT 2023","Fri Mar 31 11:13:23 ICT 2023","36655","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_17","Verify Configuration Write user can not view Travellers","Verify Configuration Write user can not view Travellers"
"passed","Fri Mar 31 10:51:59 ICT 2023","Fri Mar 31 10:52:06 ICT 2023","6916","Regression","Users","testcases.web.user.UsersCreating","testcases.web.user.UsersCreating","TC_04","Verify Username, First Name, Last Name, Email Address are mandatory fields for creating user","Verify Username, First Name, Last Name, Email Address are mandatory fields for creating user"
"failed","Fri Mar 31 11:09:13 ICT 2023","Fri Mar 31 11:09:16 ICT 2023","2778","Regression","Booking Flow","testcases.web.booking_flow.BookingFlow","testcases.web.booking_flow.BookingFlow","TC_04","Verify the traveller can be dropped off","Verify the traveller can be dropped off, and booking status can be 'completed'"
"passed","Fri Mar 31 11:02:51 ICT 2023","Fri Mar 31 11:02:56 ICT 2023","4582","Regression","Schedules","testcases.web.schedules.Schedules","testcases.web.schedules.Schedules","TC_01","Verify schedule page show with default region","Verify schedule page show with default region"
"passed","Fri Mar 31 11:01:05 ICT 2023","Fri Mar 31 11:01:16 ICT 2023","10457","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_07","Verify create driver failed if does not enter email name","Verify create driver failed if does not enter email name"
"passed","Fri Mar 31 11:01:06 ICT 2023","Fri Mar 31 11:01:16 ICT 2023","10589","Regression","Drivers","testcases.web.driver.DriverCreating","testcases.web.driver.DriverCreating","TC_04","Verify create driver failed if does not enter first name","Verify create driver failed if does not enter first name"
"broken","Fri Mar 31 11:12:05 ICT 2023","Fri Mar 31 11:12:42 ICT 2023","37068","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_15","Verify Configuration Write user can not view Schedules","Verify Configuration Write user can not view Schedules"
"passed","Fri Mar 31 10:54:59 ICT 2023","Fri Mar 31 10:55:43 ICT 2023","44036","Regression","Passenger","testcases.web.passenger.PassengerEditing","testcases.web.passenger.PassengerEditing","TC_09","Verify user can enter credit card details for passenger","Verify user can enter credit card details for passenger"
"broken","Fri Mar 31 11:15:50 ICT 2023","Fri Mar 31 11:16:25 ICT 2023","35772","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_46","Verify Configuration Write user can edit zone","Verify Configuration Write edit zone"
"passed","Fri Mar 31 11:19:55 ICT 2023","Fri Mar 31 11:20:06 ICT 2023","11438","Regression","VehicleTrips","testcases.web.vehicle_trips.VehicleTrips","testcases.web.vehicle_trips.VehicleTrips","TC_01","Verify Vehicle Trips page show with default region","Verify Vehicle Trips page show with default region"
"broken","Fri Mar 31 10:55:01 ICT 2023","Fri Mar 31 10:56:09 ICT 2023","68191","Regression","Passenger","testcases.web.passenger.PassengerEditing","testcases.web.passenger.PassengerEditing","TC_03","Verify user can edit the concession for user","Verify user can edit the concession for user"
"passed","Fri Mar 31 10:51:12 ICT 2023","Fri Mar 31 10:51:13 ICT 2023","906","Regression","Dashboard","testcases.web.dashboard.DashBoard","testcases.web.dashboard.DashBoard","TC_09","Verify can access Solutions page from Dashboard ","Verify can access Solutions page from Dashboard"
"broken","Fri Mar 31 11:09:21 ICT 2023","Fri Mar 31 11:09:59 ICT 2023","38193","Regression","Permission","testcases.web.permission.Permission","testcases.web.permission.Permission","TC_01","Verify Reporting user can view the 'Dashboard' page","Verify Reporting user can view the 'Dashboard' page"
"passed","Fri Mar 31 10:58:05 ICT 2023","Fri Mar 31 10:58:23 ICT 2023","18521","Regression","Zones","testcases.web.zone.ZoneDeleting","testcases.web.zone.ZoneDeleting","TC_01","Verify can delete zone successfully","Verify delete zone successfully"
"passed","Fri Mar 31 11:27:58 ICT 2023","Fri Mar 31 11:28:05 ICT 2023","6986","Regression","Global Search","testcases.web.global_search.GlobalSearch","testcases.web.global_search.GlobalSearch","TC_10","Verify user can search vehicle trip by id","Verify user can search vehicle trip by id"
